name,value
Alaska,381.28
Alabama,1098.02
Arkansas,852.33
Arizona,580.12
California,669.59
Colorado,469.60
Connecticut,684.62
District of Colombia,578.73
Delaware,768.31
Florida,928.45
Georgia,946.85
Hawaii,608.63
Iowa,661.14
Idaho,547.63
Illinois,610.13
Indiana,862.87
Kansas,714.45
Kentucky,954.43
Louisiana,947.79
Massachusetts,501.16
Maryland,522.91
Maine,559.36
Michigan,707.39
Minnesota,460.07
Missouri,906.96
Mississippi,883.30
Montana,489.58
North Carolina,853.10
North Dakota,527.33
Nebraska,628.03
New Hampshire,457.85
New Jersey,840.05
New Mexico,481.58
Nevada,619.82
New York,775.65
Ohio,862.61
Oklahoma,844.93
Oregon,495.77
Pennsylvania,790.93
Rhode Island,587.98
South Carolina,844.59
South Dakota,577.86
Tennessee,855.52
Texas,863.71
Utah,525.97
Virginia,640.66
Vermont,465.22
Washington,445.74
Wisconsin,571.76
West Virginia,915.00
Wyoming,472.99
