name,value
Alaska,131.13
Alabama,391.99
Arkansas,338.08
Arizona,250.61
California,273.56
Colorado,206.76
Connecticut,380.64
District of Colombia,317.76
Delaware,398.94
Florida,383.57
Georgia,294.86
Hawaii,267.3
Iowa,309.45
Idaho,244.27
Illinois,261.27
Indiana,364.08
Kansas,311.02
Kentucky,440.97
Louisiana,371.89
Massachusetts,330.11
Maryland,236.63
Maine,405.15
Michigan,373.84
Minnesota,275.35
Missouri,382.84
Mississippi,350.51
Montana,265.76
North Carolina,374.78
North Dakota,316.83
Nebraska,306.25
New Hampshire,285.9
New Jersey,384.32
New Mexico,229.59
Nevada,213.98
New York,422.99
Ohio,390.53
Oklahoma,317.54
Oregon,274.51
Pennsylvania,418.77
Rhode Island,360.81
South Carolina,329.97
South Dakota,308.77
Tennessee,411.92
Texas,264.75
Utah,176.93
Virginia,255.47
Vermont,312.56
Washington,227.44
Wisconsin,312
West Virginia,463.96
Wyoming,184.88
