name,value
Alaska,61.27
Alabama,225.38
Arkansas,213.23
Arizona,141.48
California,154.55
Colorado,115.36
Connecticut,138.23
District of Colombia,66.68
Delaware,156.62
Florida,184.56
Georgia,183.28
Hawaii,139.12
Iowa,204.29
Idaho,164.61
Illinois,154.19
Indiana,208.47
Kansas,180.87
Kentucky,220.52
Louisiana,190.44
Massachusetts,137.75
Maryland,114.07
Maine,153.13
Michigan,173.81
Minnesota,149.53
Missouri,199.77
Mississippi,202.73
Montana,135.54
North Carolina,170.05
North Dakota,153.54
Nebraska,171.50
New Hampshire,122.95
New Jersey,171.08
New Mexico,140.53
Nevada,147.82
New York,150.78
Ohio,203.75
Oklahoma,196.02
Oregon,142.48
Pennsylvania,177.55
Rhode Island,156.56
South Carolina,176.05
South Dakota,158.96
Tennessee,192.63
Texas,164.23
Utah,125.33
Virginia,142.71
Vermont,160.44
Washington,122.88
Wisconsin,174.88
West Virginia,205.02
Wyoming,114.18
